row_id,Y
2933,4.182078464991892
734,4.025152409228387
1139,3.592628372863218
9394,4.270894007429763
7393,4.240898381137291
7900,4.414019232810325
5095,4.366302360023989
8763,4.121436922825877
9632,4.032741332716174
973,4.473944722317537
4469,4.490717222701706
3569,4.328611258950716
2090,4.228644859655582
3671,4.547431201818438
6762,4.2056532933624755
1713,4.042573542301887
10032,4.10199262308017
2767,4.267663820400125
5103,3.729288495709186
1643,4.2128761307970315
8806,4.126090036349235
10789,4.2274128021885415
2047,4.142595403326951
7975,4.218287424965004
9697,4.042749345976503
10635,3.978612562944977
3202,4.142635972286696
8313,4.419031973942853
1688,4.459228591243538
10164,4.080252793570337
3134,4.204682047948268
9100,4.268617056271145
984,4.361267320993874
6376,4.180988372474669
6820,4.073609307468465
8263,4.1317490776488155
346,4.034443123749655
8855,4.4956938892922444
38,4.105048057156845
1482,4.285628589598858
5460,4.082857237373984
3749,4.086114286327396
1153,4.015439786960384
9008,4.840098277963021
9066,4.310465356100616
3767,3.6107876734038538
6132,3.933445416836925
7810,4.096097147953624
9794,4.101686615161063
2197,4.461864498140176
8753,4.311889700830373
1885,4.15087492407522
5074,4.232052647844639
10459,4.256943585037574
3926,4.343281176237166
10362,4.416969255755854
3060,4.480296864988259
6966,4.378531732361237
8173,4.036913030742271
5362,4.326389430106354
7413,4.453047637921924
2543,4.129055992203288
327,4.016067939740206
2360,4.051990739920151
4937,4.046005668261305
3582,3.8800623730129358
4539,4.3888007747315445
4506,4.29780411256824
8661,4.451089073119523
2713,4.422750049439808
10303,4.379577121266806
12,3.966435817180799
8749,4.020018984981245
9171,4.588906344914703
1138,4.151654650324577
3734,4.022611886859211
8596,3.5485066775256016
32,4.1383048524655
2890,4.3242256400132355
48,4.367411478830142
6180,4.380490529509095
10440,4.1807716748376285
4699,4.331703080524861
3575,4.336881997584776
1284,4.394096664587832
3592,4.10629197246792
3859,4.44851630297206
10112,4.4080355403890294
8053,4.320553990836649
6609,4.3192932606662575
8971,4.13316761144224
5582,3.93771641012672
