app_category,free_paid,age_rating,quarter,is_wear_os,is_version_range,app_name,year_group,holiday_group,reviews_group,weekday,min_base_os_version,Y,log_size,log_downloads,log_price_paid_only,log_reviews_count
ART_AND_DESIGN,Free,Everyone,3,False,False,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",Recent,Mid Rating Holiday,High,2,4.0,4.7,11.37951977873004,15.978833698567334,0.0,15.424948670398354
ART_AND_DESIGN,Free,Everyone,2,False,False,Pixel Draw - Number Art Coloring Book,Recent,Mid Rating Holiday,Mid,2,4.4,4.3,6.875232087276577,14.845130332288226,0.0,11.51293546492023
ART_AND_DESIGN,Free,Everyone,1,False,False,Paper flowers instructions,Recent,Mid Rating Holiday,Low-Mid,6,2.3,4.4,5.123963979403259,15.53827733427679,0.0,10.819798284210286
ART_AND_DESIGN,Free,Everyone,2,False,False,Smoke Effect Photo Maker - Smoke Editor,Recent,Mid Rating Holiday,Low-Mid,3,4.0,3.8,5.187385805840755,16.759949589762293,0.0,10.819798284210286
ART_AND_DESIGN,Free,Everyone,2,False,False,Infinite Painter,Recent,Mid Rating Holiday,High,3,4.2,4.1,10.513687812275148,17.182806422433504,0.0,13.815511557963774
ART_AND_DESIGN,Free,Everyone,3,False,False,Kids Paint Free - Drawing Fun,Recent,Mid Rating Holiday,Low-Mid,1,4.0,4.7,4.804021044733257,14.946912992035967,0.0,9.210440366976517
ART_AND_DESIGN,Free,Everyone,4,False,False,Text on Photo - Fonteee,Recent,Mid Rating Holiday,High,4,4.1,4.4,9.53827627757511,17.147715103853763,0.0,13.815511557963774
ART_AND_DESIGN,Free,Everyone,3,False,False,Name Art Photo Editor - Focus n Filters,Recent,Mid Rating Holiday,High,1,4.0,4.4,9.081256218564645,16.300417291085605,0.0,13.815511557963774
ART_AND_DESIGN,Free,Everyone,2,False,False,Mandala Coloring Book,Recent,Mid Rating Holiday,Mid,1,4.4,4.6,8.372629740224884,16.860033043306743,0.0,11.51293546492023
ART_AND_DESIGN,Free,Everyone,3,False,False,Photo Designer - Write your name with shapes,Recent,Mid Rating Holiday,Mid,1,4.1,4.7,8.197814032221203,15.520258832020865,0.0,13.122365377402328
